date,n_assets,count_RANGING,count_TRENDING_UP,count_TRENDING_DOWN,count_HIGH_VOL,count_favourable
2010-11-19 00:00:00+00:00,30,20,6,0,4,6
2010-11-26 00:00:00+00:00,30,23,6,0,1,6
2010-12-03 00:00:00+00:00,30,22,6,2,0,8
2010-12-10 00:00:00+00:00,30,23,6,1,0,7
2010-12-17 00:00:00+00:00,30,17,12,1,0,13
2010-12-24 00:00:00+00:00,30,13,16,1,0,17
2010-12-31 00:00:00+00:00,30,13,16,1,0,17
2011-01-07 00:00:00+00:00,30,15,15,0,0,15
2011-01-14 00:00:00+00:00,30,15,15,0,0,15
2011-01-21 00:00:00+00:00,30,15,15,0,0,15
2011-01-28 00:00:00+00:00,30,17,13,0,0,13
2011-02-04 00:00:00+00:00,30,22,8,0,0,8
2011-02-11 00:00:00+00:00,30,19,11,0,0,11
2011-02-18 00:00:00+00:00,30,19,11,0,0,11
2011-02-25 00:00:00+00:00,30,22,8,0,0,8
2011-03-04 00:00:00+00:00,30,22,6,0,2,6
2011-03-11 00:00:00+00:00,30,18,1,0,11,1
2011-03-18 00:00:00+00:00,30,14,3,0,13,3
2011-03-25 00:00:00+00:00,30,25,3,1,1,4
2011-04-01 00:00:00+00:00,30,27,2,1,0,3
2011-04-08 00:00:00+00:00,30,26,4,0,0,4
2011-04-15 00:00:00+00:00,30,26,4,0,0,4
2011-04-22 00:00:00+00:00,30,26,4,0,0,4
2011-04-29 00:00:00+00:00,30,23,6,0,1,6
2011-05-06 00:00:00+00:00,30,22,7,0,1,7
2011-05-13 00:00:00+00:00,30,19,7,1,3,8
2011-05-20 00:00:00+00:00,30,19,8,2,1,10
2011-05-27 00:00:00+00:00,30,24,6,0,0,6
2011-06-03 00:00:00+00:00,30,26,3,1,0,4
2011-06-10 00:00:00+00:00,30,25,2,3,0,5
2011-06-17 00:00:00+00:00,30,19,6,5,0,11
2011-06-24 00:00:00+00:00,30,22,3,5,0,8
2011-07-01 00:00:00+00:00,30,27,3,0,0,3
2011-07-08 00:00:00+00:00,30,28,2,0,0,2
2011-07-15 00:00:00+00:00,30,29,1,0,0,1
2011-07-22 00:00:00+00:00,30,29,1,0,0,1
2011-07-29 00:00:00+00:00,30,28,2,0,0,2
2011-08-05 00:00:00+00:00,30,15,2,2,11,4
2011-08-12 00:00:00+00:00,30,3,0,0,27,0
2011-08-19 00:00:00+00:00,30,4,0,1,25,1
2011-08-26 00:00:00+00:00,30,4,0,12,14,12
2011-09-02 00:00:00+00:00,30,7,1,20,2,21
2011-09-09 00:00:00+00:00,30,11,1,16,2,17
2011-09-16 00:00:00+00:00,30,22,1,7,0,8
2011-09-23 00:00:00+00:00,30,20,2,8,0,10
2011-09-30 00:00:00+00:00,30,20,2,8,0,10
2011-10-07 00:00:00+00:00,30,17,4,9,0,13
2011-10-14 00:00:00+00:00,30,25,1,4,0,5
2011-10-21 00:00:00+00:00,30,27,2,1,0,3
2011-10-28 00:00:00+00:00,30,29,0,1,0,1
2011-11-04 00:00:00+00:00,30,30,0,0,0,0
2011-11-11 00:00:00+00:00,30,29,0,1,0,1
2011-11-18 00:00:00+00:00,30,29,0,1,0,1
2011-11-25 00:00:00+00:00,30,29,0,1,0,1
2011-12-02 00:00:00+00:00,30,29,0,1,0,1
2011-12-09 00:00:00+00:00,30,29,0,1,0,1
2011-12-16 00:00:00+00:00,30,27,0,3,0,3
2011-12-23 00:00:00+00:00,30,26,0,4,0,4
2011-12-30 00:00:00+00:00,30,24,1,5,0,6
2012-01-06 00:00:00+00:00,30,24,2,4,0,6
2012-01-13 00:00:00+00:00,30,26,4,0,0,4
2012-01-20 00:00:00+00:00,30,26,4,0,0,4
2012-01-27 00:00:00+00:00,30,17,13,0,0,13
2012-02-03 00:00:00+00:00,30,12,17,1,0,18
2012-02-10 00:00:00+00:00,30,10,19,1,0,20
2012-02-17 00:00:00+00:00,30,10,19,1,0,20
2012-02-24 00:00:00+00:00,30,8,22,0,0,22
2012-03-02 00:00:00+00:00,30,11,18,1,0,19
2012-03-09 00:00:00+00:00,30,22,8,0,0,8
2012-03-16 00:00:00+00:00,30,23,7,0,0,7
2012-03-23 00:00:00+00:00,30,22,7,1,0,8
2012-03-30 00:00:00+00:00,30,20,9,1,0,10
2012-04-06 00:00:00+00:00,30,21,8,1,0,9
2012-04-13 00:00:00+00:00,30,25,3,2,0,5
2012-04-20 00:00:00+00:00,30,25,1,4,0,5
2012-04-27 00:00:00+00:00,30,27,0,3,0,3
2012-05-04 00:00:00+00:00,30,27,0,3,0,3
2012-05-11 00:00:00+00:00,30,25,1,4,0,5
2012-05-18 00:00:00+00:00,30,13,5,12,0,17
2012-05-25 00:00:00+00:00,30,6,11,13,0,24
2012-06-01 00:00:00+00:00,30,4,8,18,0,26
2012-06-08 00:00:00+00:00,30,6,14,10,0,24
2012-06-15 00:00:00+00:00,30,21,6,3,0,9
2012-06-22 00:00:00+00:00,30,28,1,1,0,2
2012-06-29 00:00:00+00:00,30,29,1,0,0,1
2012-07-06 00:00:00+00:00,30,27,3,0,0,3
2012-07-13 00:00:00+00:00,30,27,3,0,0,3
2012-07-20 00:00:00+00:00,30,25,4,1,0,5
2012-07-27 00:00:00+00:00,30,27,2,1,0,3
2012-08-03 00:00:00+00:00,30,28,2,0,0,2
2012-08-10 00:00:00+00:00,30,29,1,0,0,1
2012-08-17 00:00:00+00:00,30,28,2,0,0,2
2012-08-24 00:00:00+00:00,30,25,5,0,0,5
2012-08-31 00:00:00+00:00,30,27,3,0,0,3
2012-09-07 00:00:00+00:00,30,24,6,0,0,6
2012-09-14 00:00:00+00:00,30,15,14,1,0,15
2012-09-21 00:00:00+00:00,30,7,21,2,0,23
2012-09-28 00:00:00+00:00,30,15,14,1,0,15
2012-10-05 00:00:00+00:00,30,17,12,1,0,13
2012-10-12 00:00:00+00:00,30,23,6,1,0,7
2012-10-19 00:00:00+00:00,30,25,4,1,0,5
2012-10-26 00:00:00+00:00,30,25,4,1,0,5
2012-11-02 00:00:00+00:00,30,22,5,3,0,8
2012-11-09 00:00:00+00:00,30,24,1,2,3,3
2012-11-16 00:00:00+00:00,30,18,2,10,0,12
2012-11-23 00:00:00+00:00,30,25,2,3,0,5
2012-11-30 00:00:00+00:00,30,28,0,2,0,2
2012-12-07 00:00:00+00:00,30,27,1,2,0,3
2012-12-14 00:00:00+00:00,30,28,1,1,0,2
2012-12-21 00:00:00+00:00,30,26,2,2,0,4
2012-12-28 00:00:00+00:00,30,25,2,3,0,5
2013-01-04 00:00:00+00:00,30,26,3,1,0,4
2013-01-11 00:00:00+00:00,30,24,5,1,0,6
2013-01-18 00:00:00+00:00,30,20,9,1,0,10
2013-01-25 00:00:00+00:00,30,14,16,0,0,16
2013-02-01 00:00:00+00:00,30,12,17,1,0,18
2013-02-08 00:00:00+00:00,30,13,16,1,0,17
2013-02-15 00:00:00+00:00,30,13,15,2,0,17
2013-02-22 00:00:00+00:00,30,11,14,5,0,19
2013-03-01 00:00:00+00:00,30,13,12,5,0,17
2013-03-08 00:00:00+00:00,30,15,10,5,0,15
2013-03-15 00:00:00+00:00,30,12,13,5,0,18
2013-03-22 00:00:00+00:00,30,18,10,2,0,12
2013-03-29 00:00:00+00:00,30,21,7,2,0,9
2013-04-05 00:00:00+00:00,30,19,8,3,0,11
2013-04-12 00:00:00+00:00,30,21,6,3,0,9
2013-04-19 00:00:00+00:00,30,18,4,1,7,5
2013-04-26 00:00:00+00:00,30,19,6,1,4,7
2013-05-03 00:00:00+00:00,30,20,5,4,1,9
2013-05-10 00:00:00+00:00,30,19,6,5,0,11
2013-05-17 00:00:00+00:00,30,13,13,4,0,17
2013-05-24 00:00:00+00:00,30,12,14,4,0,18
2013-05-31 00:00:00+00:00,30,13,14,3,0,17
2013-06-07 00:00:00+00:00,30,23,6,1,0,7
2013-06-14 00:00:00+00:00,30,24,2,4,0,6
2013-06-21 00:00:00+00:00,30,26,1,3,0,4
2013-06-28 00:00:00+00:00,30,22,1,7,0,8
2013-07-05 00:00:00+00:00,30,22,1,7,0,8
2013-07-12 00:00:00+00:00,30,20,3,7,0,10
2013-07-19 00:00:00+00:00,30,19,6,5,0,11
2013-07-26 00:00:00+00:00,30,22,6,2,0,8
2013-08-02 00:00:00+00:00,30,21,8,1,0,9
2013-08-09 00:00:00+00:00,30,21,7,2,0,9
2013-08-16 00:00:00+00:00,30,23,5,2,0,7
2013-08-23 00:00:00+00:00,30,23,3,4,0,7
2013-08-30 00:00:00+00:00,30,23,5,2,0,7
2013-09-06 00:00:00+00:00,30,25,3,2,0,5
